No.	Question	Response	Context	정답	문서명	answer_judgment	answer_match_percent	context_judgment	context_match_percent	final_judgment	final_match_percent	Result	reason
1	부모님이 임플란트 시술을 하였으며, 임플란트 시술 전에 치조골 이식 수술을 받았습니다. 수술특약으로 치조골 이식 수술에 대한 보험금을 신청하려 하는 데 치조골 이식수술에 대한 보험금 지급관련 판례를 보여 주세요.	치조골 이식 수술에 대한 보험금 지급 관련 판례는 제공된 문서에서 찾을 수 없습니다. 추가적인 정보를 제공해 주시면 다시 확인하겠습니다.	약관_(무)신한유니버설종신보험_080312.pdf, 산출방법서_신한큐브종합건강상해보험(무배당, 해약환급금 미지급형)_230404_v2.pdf, 300233_계약관계자변경.docx	"수술특약에서 치조골이식수술에 대한 보험금 지급여부 관련 약관 별표 ""수술분류표""에서 골이식 수술 제외(2007년)\n약관상 2007년 이후 가입한 계약은 치조골이식수술에 대한 수술특약에서의 수술급여금 지급 제외\n[수술분류표]\n근골(筋骨)의 수술\n[발정술(拔釘術) 등 내고정물 제거술은 제외함]\n[치(齒) · 치은 ·치근(齒根) ·치조골(齒槽骨)의 처치, 임플란트(Implant) 등 치과 처치 및 수술에 수반하는 것은 제외함]"	docs/대구고등법원 2005. 9. 27. 선고 2004나3957(본소),2004나3964(반소) 판결.pdf.md + 관련 약관	불일치	0	불일치	0	불일치	0	불일치	Response는 질문에 대한 판례 정보를 제공하지 못했으며, Context도 기대 문서와 관련이 없습니다.
2	자살을 하였을 경우, 보험금을 받을 수 있는 경우가 있던데 관련하여 판례가 있나요?	자살로 인한 보험금 지급과 관련된 판례는 다음과 같습니다:\n\n1. **대법원 2011. 4. 28. 선고 2009다97772 판결**  \n   - 피보험자가 정신질환 등으로 자유로운 의사결정을 할 수 없는 상태에서 사망의 결과를 발생케 한 경우, 이는 자살로 보지 않는다는 판례입니다. 그러나, 정신질환으로 자유로운 의사결정을 할 수 없는 상태가 아니라고 판단된 사례에서는 자살로 인정되었습니다.\n\n2. **대법원 2021. 2. 4. 선고 2017다281367 판결**  \n   - 피보험자가 우울증으로 자유로운 의사결정을 할 수 없는 상태에서 자살한 경우, 이를 자살로 보지 않을 수 있다는 원칙을 확인하였습니다. 하지만, 해당 사건에서는 우울증으로 자유로운 의사결정을 할 수 없는 상태였다고 보기 어렵다고 판단되었습니다.\n\n3. **대법원 2023. 5. 18. 선고 2022다238800 판결**  \n   - 피보험자가 주요우울병 등의 진단을 받고 상당 기간 치료를 받아왔으며, 자살 당시 우울증세가 급격히 악화된 상태에서 자유로운 의사결정을 할 수 없는 상태였다고 판단될 여지가 충분함에도 불구하고, 이를 인정하지 않은 하급심 판단에 법리오해가 있다고 판시하였습니다.\n\n이 판례들은 자살로 인한 보험금 지급 여부가 피보험자의 정신적 상태와 자유로운 의사결정 가능 여부에 따라 달라질 수 있음을 보여줍니다.	020-대법원 2011. 4. 28. 선고 2009다97772 판결.pdf-1.md, 021-대법원 2021. 2. 4. 선고 2017다281367 판결.pdf-1.md, 022-대법원 2023. 5. 18. 선고 2022다238800 판결.pdf-1.md, 판매약관_신한큐브종합건강상해보험_230404.pdf.md, 판매약관_신한큐브종합건강상해보험(무배당_해약환급금_미지급형)_230404.pdf.md	"약관상 계약일로부터 2년 이내 자살시 보험금 지급 불가하나, 피보험자가 심신상실, 심신박약 으로 인하여 자살 한 경우 보험금 지급 가능함\n판례 기준 : 업무로 인한 극도의 스트레스 등으로 자살한 경우도 보험금 부지급 예외 가능한지 판판\n\n대법원 2011.4.28. 선고 2009다97772판결[보험금] [공2011상.1018]\n대법원 2023.5.18. 선고 2022다238800판결[보험금] [공보불게제]\n대법원 2021.2.4. 선고 2017다281367판결[보험금] [공2021상.479]\n\n기사 : 매일경제 2024.06.05일자 기사 [대법 ""정신병력 없는 자살자도 상황에 따라 보험금 지급해야"" ]"	docs/대법원 2011. 4. 28. 선고 2009다97772 판결.pdf.md / docs/대법원 2023. 5. 18. 선고 2022다238800 판결.pdf.md / docs/대법원 2021. 2. 4. 선고 2017다281367 판결.pdf.md	일치	100	일치	100	일치	100	일치	Response는 자살과 관련된 보험금 지급 여부에 대한 주요 판례를 정확히 언급하였으며, Standard Answer와 일치합니다. 제공된 Context 문서도 기대 문서명과 정확히 일치합니다.
3	보험계약을 신청하였는데, 철회하고 싶습니다. 세부 기준을 알려 주세요	보험 계약 철회 기준은 다음과 같습니다:  \n\n1. **일반적인 경우**:  \n   - 계약자는 청약한 날부터 15일 이내에 청약을 철회할 수 있습니다.  \n   - 통신판매 계약(전화, 우편, 컴퓨터 등의 통신매체를 통한 계약)의 경우 청약한 날부터 30일 이내에 철회가 가능합니다.  \n\n2. **특별한 경우**:  \n   - 만 65세 이상 계약자가 체결한 통신판매 계약의 경우 청약 철회 가능 기간은 청약한 날부터 45일까지로 연장됩니다.  \n\n3. **보험금 지급 사유 발생 시**:  \n   - 이미 보험금 지급 사유가 발생하였으나 계약자가 그 사실을 알지 못한 경우에는 청약 철회의 효력이 발생하지 않습니다.  \n\n4. **보험료 반환**:  \n   - 회사는 청약 철회를 접수한 날부터 3일 이내에 이미 납입한 보험료를 돌려줍니다.  \n   - 신용카드로 납입한 경우에는 매출 취소 방식으로 처리되며, 이자는 지급되지 않습니다.  \n\n출처:  \n- [037-약관_무배당연금보험프리스타일_20130401_v3.0.pdf-1, 제2조(청약의 철회)]  \n- [004-000.주계약약관_(355간편)신한통합건강보장보험원(ONE)(무배당, 해약환급금 미지급형)_20240101_v0.2.pdf-1, 사례2]	037-약관_무배당연금보험프리스타일_20130401_v3.0.pdf-1.md, 002-(무)종신보험표준형_20210101_약관.pdf-1.md, 004-000.주계약약관_(355간편)신한통합건강보장보험원(ONE)(무배당, 해약환급금 미지급형)_20240101_v0.2.pdf-1.md, 006-300060_고객센터 청약철회 업무처리기준.docx-1.md, 038-약관_신한진심을품은변액유니버설종신보험(무배당)_20220401_v1.0.pdf-1.md, 036-약관_무배당연금보험프리스타일_20050401.pdf-1.md	보험계약자는 보험증권을 받은 날부터 15일 이내에 보험계약의 청약을 철회할 수 있습니다. 계약자가 전화로신청하거나 철회 의사를 표시하기 위한 서명, 전자우편, 휴대전화 문자메시지 또는 이에 준하는 전자적 의사표시 등을 발송하여 청약 철회를 할 수 있으며, 계약자가 청약을 철회한 때에는 청약의 철회를 접수한 날부터 3영업일 이내에 납입한 보험료를 돌려 드립니다.\n단, 청약한 날부터 30일(만 65세 이상인 계약자가 체결한 통신판매계약의 경우에는 45일)일 초과한 경우 또는 보험기간이 90일 이내인 계약 또는 전문금융소비자가 체결한 계약을 청약 철회가 불가합니다.	docs/300060_고객센터 청약철회 업무처리기준.docx.md	부분일치	85	부분일치	80	부분일치	84	부분일치 84%	Actual Response는 청약 철회 기준을 대부분 정확히 설명했으나, 보험기간이 90일 이내인 계약 및 전문금융소비자가 체결한 계약에 대한 철회 불가 조건이 누락되었습니다. 또한, Actual Context에는 기대 문서명이 포함되지 않았으나 관련 문서가 일부 포함되어 있어 부분일치로 평가합니다.
4	보험에 가입했는데 언제부터 보장을 받는 건가요?	보험의 보장개시일은 일반적으로 계약이 성립되고 제1회 보험료를 받은 날부터 시작됩니다. 다만, 회사가 승낙하기 전이라도 청약과 함께 제1회 보험료를 받은 경우에는 그 날을 보장개시일로 봅니다. (출처: 002-(무)종신보험표준형_20210101_약관.pdf-1.md, [보장개시일])	033-약관_(무)S-MORE신한저축보험_110601.pdf-1.md, 037-약관_무배당연금보험프리스타일_20130401_v3.0.pdf-1.md, 002-(무)종신보험표준형_20210101_약관.pdf-1.md, 032-신한THE착한연금미리받을수있는종신보험(무배당, 저해지환급형)_약관_161004.pdf-1.md, 005-005.약관_신한라이프놀라운종신보험(무배당, 해약환급금 일부지급형)_20240401_v0.5_중복삭제_맞춤형약관제작.pdf-1.md, 034-약관_(무)신한유니버설종신보험_060703~071102_7614.pdf-1.md, 004-000.주계약약관_(355간편)신한통합건강보장보험원(ONE)(무배당, 해약환급금 미지급형)_20240101_v0.2.pdf-1.md	"가입한 상품의 약관 규정에 따라 일반적으로 보장개시일은 회사가 보장을 개시하는날로서 계약이 성립되고 제1회 보험료를 받은 날을 말하나, 회사가 승낙하기 전이라도 청약과 함께 제1회 보험료를 받은 경우에는 제1회 보험료를 받은 날을 말합니다. 단, 해당 규정에도 불구하고 ""암""및 일부 특정한 질병 보장에 대한 보장개시일은 계약일[부활(효력회복)의 경우 부활(효력회복)일]부터 그 날을 포함하여 90일이 지난 날의 다음날로 합니다."	docs/(무)종신보험표준형_20210101_약관.pdf.md	부분일치	85	일치	100	부분일치	88	부분일치 88%	Response는 보장개시일에 대한 일반적인 설명은 정확히 제공했으나, 암 및 특정 질병 보장에 대한 예외사항(90일 대기 기간)을 언급하지 않아 일부 정보가 누락되었습니다. Context는 기대 문서명을 포함하고 있어 일치합니다.
5	2021년 4월 5일에 가입한 종신보험 표준형에 납입한 보험료가 몇 %로 부리되고 있나요?	2021년 4월 5일에 가입한 종신보험 표준형의 납입 보험료는 매월 1일 회사가 정한 공시이율로 부리되며, 최저보증이율은 연복리 4.0%입니다. (출처: 약관_(무)신한유니버설종신보험_080312.pdf, 제20조【공시이율의적용및공시】)	약관_(무)신한유니버설종신보험_080312.pdf, 산출방법서_신한큐브종합건강상해보험(무배당, 해약환급금 미지급형)_230404_v2.pdf	해당 상품의 장래 경과기간별 책임준비금은 매 경과시점별로 장래의 위험률을 반영한 보험금 지급예상액의 현재가치 금액으로 산출한 값을 매 경과시점에서의 금액으로 산출 적립한 금액입니다.\n기간이 경과할수록 위험률의 증가에 따라 매 경과시점별의 책임준비금이 커져 금액이 특정한 이율로 부리되는 것처럼 보일 수 있습니다. 그러나 해당 상품은 저축, 연금보험과 같이 납입한 보험료 중 일부 금액을 특정이율로 부리 적립하는 상품이 아닙니다.	docs/(무)종신보험표준형_20210101_약관.pdf.md	불일치	0	불일치	0	불일치	0	불일치	Response는 해당 상품이 특정 이율로 부리되지 않는다는 정답과 반대되는 내용을 포함하고 있으며, Context도 기대 문서명과 일치하지 않습니다.
6	2010년 가입한 종신보험 표준형 계약에서 사망보장을 못받는 때가 있나요?	"2010년에 가입한 종신보험 표준형 계약에서 사망보장을 받지 못하는 경우는 다음과 같습니다:  \n\n1. **보험대상자가 고의로 자신을 해친 경우**  \n   - 단, 정신질환 등으로 자유로운 의사결정을 할 수 없는 상태에서 자신을 해친 경우와 보장개시일부터 2년 경과 후 자살한 경우는 제외됩니다.  \n\n2. **보험금을 받는 자(보험수익자)가 고의로 보험대상자를 해친 경우**  \n   - 이 경우 해당 보험금을 받는 자에게 지급하지 않으며, 다른 보험수익자에게 지급합니다.  \n\n3. **계약자가 고의로 보험대상자를 해친 경우**  \n\n이 내용은 ""약관_(무)신한유니버설종신보험_080312.pdf"" 문서의 제18조(보험금을 지급하지 아니하는 보험사고)에서 확인되었습니다."	약관_(무)신한유니버설종신보험_080312.pdf, 300233_계약관계자변경.docx	보험계약이 소멸, 해지되는 경우, 소멸 또는 해지시점이후에는 보장을 받을 수 없습니다.\n또한 보험계약체결 시점에 보험회사가 질문한 사항에 제대로 알리지 않아 계약전 알릴 의무를 소홀히 한 경우, 피보험자, 계약자 및 보험수익자가 고의로 피보험자를 해친 경우 및 뚜렸한 사기의사에 의하여 보험계약을 한 경우에는 보험금 지급이 제한 되거나 거절될 수 있습니다.	docs/무배당종신보험표준형_약관_060401.pdf.md 또는 docs/(무)종신보험표준형_20210101_약관.pdf.md	부분일치	75	부분일치	50	부분일치	70	부분일치 70%	Actual Response는 고의로 자신을 해친 경우 등 특정 사례를 잘 설명했으나, 계약 소멸/해지 시 보장 불가와 계약 전 알릴 의무 위반 등 중요한 조건이 누락되었습니다. 또한, Actual Context는 기대 문서명과 일부만 일치합니다.
7	종신보험 표준형에 가입하여 은행에 다니는 직장인인데 보험가입할 때 보니 제가 전문보험계약자라 합니다. 일반계약자가 아니라 전문보험계약자라 하는 근거가 뭔가요?	질문과 일치하는 상품 문맥을 찾지 못했습니다.	약관_(무)신한유니버설종신보험_080312.pdf, 300233_계약관계자변경.docx	1) 보험업법 제2조 중 관련 주요 규정\n제2조(정의) 이 법에서 사용하는 용어의 뜻은 다음과 같다.\n19. “전문보험계약자”란 보험계약에 관한 전문성, 자산규모 등에 비추어 보험계약의 내용을 이해하고 이행할 능력이 있는 자로서 다음 각 목의 어느 하나에 해당하는 자를 말한다. 다만, 전문보험계약자 중 대통령령으로 정하는 자가 일반보험계약자와 같은 대우를 받겠다는 의사를 보험회사에 서면으로 통지하는 경우 보험회사는 정당한 사유가 없으면 이에 동의하여야 하며, 보험회사가 동의한 경우에는 해당 보험계약자는 일반보험계약자로 본다.\n  가. 국가\n  나. 한국은행\n  다. 대통령령으로 정하는 금융기관\n  라. 주권상장법인\n  마. 그 밖에 대통령령으로 정하는 자\n20. “일반보험계약자”란 전문보험계약자가 아닌 보험계약자를 말한다.	docs/별첨1_약관 내용 중 법 관련 인용 조문_240610.pdf.md	불일치	0	불일치	0	불일치	0	불일치	응답이 질문에 대한 답변을 제공하지 못했으며, 관련 문서도 기대 문서와 일치하지 않습니다.
8	2021년 4월 5일에 가입한 종신보험 표준형 해약환급금이 납입한 보험료보다 적게 나왔습니다. 산출 근거가 무엇인가요?	"종신보험 표준형의 해약환급금이 납입한 보험료보다 적게 나오는 이유는 약관에 명시된 해약환급금 산출 방식에 따라 결정됩니다. 제공된 약관에 따르면, 해약환급금은 ""보험료 및 책임준비금 산출방법서""에 따라 계산되며, 공시이율이 변경될 경우 변경된 공시이율을 기준으로 적용됩니다(출처: 약관_(무)신한유니버설종신보험_080312.pdf, 제21조【해약환급금】).  \n\n따라서, 해약환급금은 납입한 보험료와 동일하지 않을 수 있으며, 이는 산출 방식과 공시이율 등의 요인에 따라 달라질 수 있습니다."	약관_(무)신한유니버설종신보험_080312.pdf, 산출방법서_신한큐브종합건강상해보험(무배당, 해약환급금 미지급형)_230404_v2.pdf	해약환급금은 책임준비금에서 미상각신계약비를 공제한 금액으로 산출합니다. 미상각신계약비는 납입기간과 7년 중 작은 기간 동안 공제하며 해당 기간 이후의 해약환급금은 책임준비금과 동일합니다.\n다만, 책임준비금은 산출방법서의 정의에 따라 보험계약일 이후 매 경과시점별로 장래의 위험률은 반영한 보험금 지급예상액의 현재가치 금액으로 산출되며 이 금액은 납입한 보험료 누계액보다 적을 수 있습니다.	docs/(무)종신보험표준형_20210101_약관.pdf.md	부분일치	75	부분일치	50	부분일치	70	부분일치 70%	Response는 해약환급금 산출 방식에 대해 일부 설명했으나, 미상각신계약비와 책임준비금의 구체적 산출 방식에 대한 설명이 부족합니다. 또한, Context 문서가 기대 문서명과 일부만 일치합니다.
9	어머니께서 2010년에 종신보험 표준형에 가입하셨는데, 치매 검사를 했더니 치매가 약간 있다고 합니다. CDR척도 검사시 2점을 받았습니다. 치매 진단으로 장해보험금을 받을 수 있나요? 얼마를 받나요?	질문과 일치하는 상품 문맥을 찾지 못했습니다.	약관_(무)신한유니버설종신보험_080312.pdf, 산출방법서_신한큐브종합건강상해보험(무배당, 해약환급금 미지급형)_230404_v2.pdf	"치매 진단(CDR척도 2점)으로 장해 등급을 받을 수는 있습니다. 이 경우 장해 지급률은 40% 입니다\n다난, 주계약에서는 장해급여금에 대한 보장내용이 없으므로 보험기간 중 치매의 진단으로 장해급여금을 받을 수는 없습니다.\n또한 재해장해특약에서의 장해급여금 지급사유는 ""재해를 원인으로""라고 되어 있어 치매의 발생을 재해로 볼 수 없음에 따라 재해장해특약에서도 재해장해급여금의 지급은 불가합니다."	docs/무배당종신보험표준형_약관_060401.pdf.md 또는 docs/(무)종신보험표준형_20210101_약관.pdf.md	불일치	0	불일치	0	불일치	0	불일치	응답이 질문에 대한 답변을 제공하지 못했으며, 관련 문서도 기대 문서와 일치하지 않습니다.
10	신한유니버설종신보험 월대체공제 기준은 어떻게 되나요?	신한유니버설종신보험의 월대체공제 기준은 다음과 같습니다:  \n\n1. **월납계약**  \n   - 보험료 납입경과기간 2년(24회 납입)까지는 해당월의 기본보험료(특약이 부가된 경우 특약보험료 포함) 납입 시 월대체보험료를 공제합니다.  \n   - 보험료 납입경과기간 2년(24회 납입) 이후에는 매월 계약해당일에 해약환급금(보험계약대출원리금을 차감한 금액 기준)에서 월대체보험료를 공제합니다.  \n\n2. **일시납계약**  \n   - 매월 계약해당일에 해약환급금(보험계약대출원리금을 차감한 금액 기준)에서 월대체보험료를 공제합니다.  \n\n출처: 약관_(무)신한유니버설종신보험_080312.pdf, 관련 조항.	약관_(무)신한유니버설종신보험_080312.pdf	제13조【월대체보험료 공제】\n① 월납계약의 경우 보험료 납입경과기간 2년(24회 납입)까지는 해당월 기본보험료(특약이 부가된 경우 특약보험료 포함) 납입시에 월대체보험료를 공제하며 보험료 납입경과기간 2년(24회 납입) 이후에는 매월 계약해당일에 해약환급금(보험계약대출원리금을 차감한 금액 기준)에서 월대체보험료를 공제합니다. 단, 보험료 납입경과기간 2년(24회 납입) 이내에도 해당월 기본 보험료 (특약이 부가된 경우 특약보험료 포함)를 해당월 계약해당일 이전에 납입한 경우에는 월대체보험료를 해당월 계약해당일에 계약자적립금에서 공제합니다.	약관_(무)신한유니버설종신보험_080312.pdf	부분일치	85	일치	100	일치	88	일치	Actual Response는 월납계약과 일시납계약의 월대체공제 기준을 정확히 설명했으나, 월납계약의 2년 이내 조건에서 '해당월 계약해당일 이전에 납입한 경우'에 대한 예외사항이 누락되었습니다. Context는 기대 문서명과 일치합니다.
