no	Question	Response	Context
1	부모님이 임플란트 시술을 하였으며, 임플란트 시술 전에 치조골 이식 수술을 받았습니다. 수술특약으로 치조골 이식 수술에 대한 보험금을 신청하려 하는 데 치조골 이식수술에 대한 보험금 지급관련 판례를 보여 주세요.	치조골 이식 수술에 대한 보험금 지급 관련 판례는 제공된 문서에서 찾을 수 없습니다. 추가적인 정보를 제공해 주시면 다시 확인하겠습니다.	약관_(무)신한유니버설종신보험_080312.pdf, 산출방법서_신한큐브종합건강상해보험(무배당, 해약환급금 미지급형)_230404_v2.pdf, 300233_계약관계자변경.docx
2	자살을 하였을 경우, 보험금을 받을 수 있는 경우가 있던데 관련하여 판례가 있나요?	자살로 인한 보험금 지급과 관련된 판례는 다음과 같습니다:\n\n1. **대법원 2011. 4. 28. 선고 2009다97772 판결**  \n   - 피보험자가 정신질환 등으로 자유로운 의사결정을 할 수 없는 상태에서 사망의 결과를 발생케 한 경우, 이는 자살로 보지 않는다는 판례입니다. 그러나, 정신질환으로 자유로운 의사결정을 할 수 없는 상태가 아니라고 판단된 사례에서는 자살로 인정되었습니다.\n\n2. **대법원 2021. 2. 4. 선고 2017다281367 판결**  \n   - 피보험자가 우울증으로 자유로운 의사결정을 할 수 없는 상태에서 자살한 경우, 이를 자살로 보지 않을 수 있다는 원칙을 확인하였습니다. 하지만, 해당 사건에서는 우울증으로 자유로운 의사결정을 할 수 없는 상태였다고 보기 어렵다고 판단되었습니다.\n\n3. **대법원 2023. 5. 18. 선고 2022다238800 판결**  \n   - 피보험자가 주요우울병 등의 진단을 받고 상당 기간 치료를 받아왔으며, 자살 당시 우울증세가 급격히 악화된 상태에서 자유로운 의사결정을 할 수 없는 상태였다고 판단될 여지가 충분함에도 불구하고, 이를 인정하지 않은 하급심 판단에 법리오해가 있다고 판시하였습니다.\n\n이 판례들은 자살로 인한 보험금 지급 여부가 피보험자의 정신적 상태와 자유로운 의사결정 가능 여부에 따라 달라질 수 있음을 보여줍니다.	020-대법원 2011. 4. 28. 선고 2009다97772 판결.pdf-1.md, 021-대법원 2021. 2. 4. 선고 2017다281367 판결.pdf-1.md, 022-대법원 2023. 5. 18. 선고 2022다238800 판결.pdf-1.md, 판매약관_신한큐브종합건강상해보험_230404.pdf.md, 판매약관_신한큐브종합건강상해보험(무배당_해약환급금_미지급형)_230404.pdf.md
3	보험계약을 신청하였는데, 철회하고 싶습니다. 세부 기준을 알려 주세요	보험 계약 철회 기준은 다음과 같습니다:  \n\n1. **일반적인 경우**:  \n   - 계약자는 청약한 날부터 15일 이내에 청약을 철회할 수 있습니다.  \n   - 통신판매 계약(전화, 우편, 컴퓨터 등의 통신매체를 통한 계약)의 경우 청약한 날부터 30일 이내에 철회가 가능합니다.  \n\n2. **특별한 경우**:  \n   - 만 65세 이상 계약자가 체결한 통신판매 계약의 경우 청약 철회 가능 기간은 청약한 날부터 45일까지로 연장됩니다.  \n\n3. **보험금 지급 사유 발생 시**:  \n   - 이미 보험금 지급 사유가 발생하였으나 계약자가 그 사실을 알지 못한 경우에는 청약 철회의 효력이 발생하지 않습니다.  \n\n4. **보험료 반환**:  \n   - 회사는 청약 철회를 접수한 날부터 3일 이내에 이미 납입한 보험료를 돌려줍니다.  \n   - 신용카드로 납입한 경우에는 매출 취소 방식으로 처리되며, 이자는 지급되지 않습니다.  \n\n출처:  \n- [037-약관_무배당연금보험프리스타일_20130401_v3.0.pdf-1, 제2조(청약의 철회)]  \n- [004-000.주계약약관_(355간편)신한통합건강보장보험원(ONE)(무배당, 해약환급금 미지급형)_20240101_v0.2.pdf-1, 사례2]	037-약관_무배당연금보험프리스타일_20130401_v3.0.pdf-1.md, 002-(무)종신보험표준형_20210101_약관.pdf-1.md, 004-000.주계약약관_(355간편)신한통합건강보장보험원(ONE)(무배당, 해약환급금 미지급형)_20240101_v0.2.pdf-1.md, 006-300060_고객센터 청약철회 업무처리기준.docx-1.md, 038-약관_신한진심을품은변액유니버설종신보험(무배당)_20220401_v1.0.pdf-1.md, 036-약관_무배당연금보험프리스타일_20050401.pdf-1.md
4	보험에 가입했는데 언제부터 보장을 받는 건가요?	보험의 보장개시일은 일반적으로 계약이 성립되고 제1회 보험료를 받은 날부터 시작됩니다. 다만, 회사가 승낙하기 전이라도 청약과 함께 제1회 보험료를 받은 경우에는 그 날을 보장개시일로 봅니다. (출처: 002-(무)종신보험표준형_20210101_약관.pdf-1.md, [보장개시일])	033-약관_(무)S-MORE신한저축보험_110601.pdf-1.md, 037-약관_무배당연금보험프리스타일_20130401_v3.0.pdf-1.md, 002-(무)종신보험표준형_20210101_약관.pdf-1.md, 032-신한THE착한연금미리받을수있는종신보험(무배당, 저해지환급형)_약관_161004.pdf-1.md, 005-005.약관_신한라이프놀라운종신보험(무배당, 해약환급금 일부지급형)_20240401_v0.5_중복삭제_맞춤형약관제작.pdf-1.md, 034-약관_(무)신한유니버설종신보험_060703~071102_7614.pdf-1.md, 004-000.주계약약관_(355간편)신한통합건강보장보험원(ONE)(무배당, 해약환급금 미지급형)_20240101_v0.2.pdf-1.md
5	2021년 4월 5일에 가입한 종신보험 표준형에 납입한 보험료가 몇 %로 부리되고 있나요?	2021년 4월 5일에 가입한 종신보험 표준형의 납입 보험료는 매월 1일 회사가 정한 공시이율로 부리되며, 최저보증이율은 연복리 4.0%입니다. (출처: 약관_(무)신한유니버설종신보험_080312.pdf, 제20조【공시이율의적용및공시】)	약관_(무)신한유니버설종신보험_080312.pdf, 산출방법서_신한큐브종합건강상해보험(무배당, 해약환급금 미지급형)_230404_v2.pdf
6	2010년 가입한 종신보험 표준형 계약에서 사망보장을 못받는 때가 있나요?	"2010년에 가입한 종신보험 표준형 계약에서 사망보장을 받지 못하는 경우는 다음과 같습니다:  \n\n1. **보험대상자가 고의로 자신을 해친 경우**  \n   - 단, 정신질환 등으로 자유로운 의사결정을 할 수 없는 상태에서 자신을 해친 경우와 보장개시일부터 2년 경과 후 자살한 경우는 제외됩니다.  \n\n2. **보험금을 받는 자(보험수익자)가 고의로 보험대상자를 해친 경우**  \n   - 이 경우 해당 보험금을 받는 자에게 지급하지 않으며, 다른 보험수익자에게 지급합니다.  \n\n3. **계약자가 고의로 보험대상자를 해친 경우**  \n\n이 내용은 ""약관_(무)신한유니버설종신보험_080312.pdf"" 문서의 제18조(보험금을 지급하지 아니하는 보험사고)에서 확인되었습니다."	약관_(무)신한유니버설종신보험_080312.pdf, 300233_계약관계자변경.docx
7	종신보험 표준형에 가입하여 은행에 다니는 직장인인데 보험가입할 때 보니 제가 전문보험계약자라 합니다. 일반계약자가 아니라 전문보험계약자라 하는 근거가 뭔가요?	질문과 일치하는 상품 문맥을 찾지 못했습니다.	약관_(무)신한유니버설종신보험_080312.pdf, 300233_계약관계자변경.docx
8	2021년 4월 5일에 가입한 종신보험 표준형 해약환급금이 납입한 보험료보다 적게 나왔습니다. 산출 근거가 무엇인가요?	"종신보험 표준형의 해약환급금이 납입한 보험료보다 적게 나오는 이유는 약관에 명시된 해약환급금 산출 방식에 따라 결정됩니다. 제공된 약관에 따르면, 해약환급금은 ""보험료 및 책임준비금 산출방법서""에 따라 계산되며, 공시이율이 변경될 경우 변경된 공시이율을 기준으로 적용됩니다(출처: 약관_(무)신한유니버설종신보험_080312.pdf, 제21조【해약환급금】).  \n\n따라서, 해약환급금은 납입한 보험료와 동일하지 않을 수 있으며, 이는 산출 방식과 공시이율 등의 요인에 따라 달라질 수 있습니다."	약관_(무)신한유니버설종신보험_080312.pdf, 산출방법서_신한큐브종합건강상해보험(무배당, 해약환급금 미지급형)_230404_v2.pdf
9	어머니께서 2010년에 종신보험 표준형에 가입하셨는데, 치매 검사를 했더니 치매가 약간 있다고 합니다. CDR척도 검사시 2점을 받았습니다. 치매 진단으로 장해보험금을 받을 수 있나요? 얼마를 받나요?	질문과 일치하는 상품 문맥을 찾지 못했습니다.	약관_(무)신한유니버설종신보험_080312.pdf, 산출방법서_신한큐브종합건강상해보험(무배당, 해약환급금 미지급형)_230404_v2.pdf
10	신한유니버설종신보험 월대체공제 기준은 어떻게 되나요?	신한유니버설종신보험의 월대체공제 기준은 다음과 같습니다:  \n\n1. **월납계약**  \n   - 보험료 납입경과기간 2년(24회 납입)까지는 해당월의 기본보험료(특약이 부가된 경우 특약보험료 포함) 납입 시 월대체보험료를 공제합니다.  \n   - 보험료 납입경과기간 2년(24회 납입) 이후에는 매월 계약해당일에 해약환급금(보험계약대출원리금을 차감한 금액 기준)에서 월대체보험료를 공제합니다.  \n\n2. **일시납계약**  \n   - 매월 계약해당일에 해약환급금(보험계약대출원리금을 차감한 금액 기준)에서 월대체보험료를 공제합니다.  \n\n출처: 약관_(무)신한유니버설종신보험_080312.pdf, 관련 조항.	약관_(무)신한유니버설종신보험_080312.pdf
